category,term,definition
overlay,overlay read,"readFile(ref,path): branch blob wins (read-your-writes), else current disk bytes, else NotFound"
overlay,requested add,"a file enters the session branch only when an agent writes or edits it; untouched files are never copied in"
overlay,disk fallback,"reads for untouched paths return the working tree's current bytes, enabling edits of any path incl. gitignored"
overlay,materialize,"Stop-time write of only touched branch files back to disk; uses readBlobFromTree (no overlay fallback)"
store,store,"the dedicated bare git repo at .git-fs/ (gitignored, publishable); holds pure deltas"
store,GIT_FS_REPO,"env override for the store path; defaults to .git-fs"
store,scratch index,"a unique temp GIT_INDEX_FILE per tree mutation so the store's own index is never disturbed (spec §6)"
branch,session branch,"gitfs/<session-id>; starts empty, accumulates one commit per edit"
branch,trailer,"Session-Id: <id> appended to commit messages on gitfs/* branches; idempotent"
ignore,hard ignore,"paths never materialized: .agent, .git-fs/, CONFLICTS.md"
ignore,tombstone,"optional record in .git-fs/session/tombstones of an untracked disk file deleted via git_fs_rm; materialize unlinks it"
merge,merge-tree,"git merge-tree --write-tree (git ≥2.38) used for clean merge / conflict detection"
merge,merge-land,"mergeLand(target,theirs): atomically land theirs onto a branch via a bounded recompute+CAS loop (update-ref with old-oid); recomputes against the new tip if the ref moved. Safe under concurrent landers vs a hand-rolled update-ref"
principle,no build step,"D1: plain ESM .mjs run by Node ≥20; no transpile/bundle/output dir"
principle,zero deps,"D2: no runtime npm deps; shell out to the system git binary"
